activity_type,mitigator_type,mitigator_variable,mitigator_name,mitigator_code,mitigator_subset,mitigator_grouping,active_from,active_to
aae,activity_avoidance,discharged_no_treatment_adult_ambulance,"A&E Discharged No Investigation or Treatment (Adult, Ambulance Conveyed)",AE-AA-001,Discharged No Treatment,Emergency department and acute medicine activity,v0.6.3,NA
aae,activity_avoidance,discharged_no_treatment_adult_walk-in,"A&E Discharged No Investigation or Treatment (Adult, Walk-in)",AE-AA-002,Discharged No Treatment,Emergency department and acute medicine activity,v0.6.3,NA
aae,activity_avoidance,discharged_no_treatment_child_ambulance,"A&E Discharged No Investigation or Treatment (Children, Ambulance Conveyed)",AE-AA-003,Discharged No Treatment,Emergency department and acute medicine activity,v0.6.3,NA
aae,activity_avoidance,discharged_no_treatment_child_walk-in,"A&E Discharged No Investigation or Treatment (Children, Walk-in)",AE-AA-004,Discharged No Treatment,Emergency department and acute medicine activity,v0.6.3,NA
aae,activity_avoidance,frequent_attenders_adult_ambulance,"A&E Frequent Attenders (Adult, Ambulance Conveyed)",AE-AA-005,Frequent Attenders,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,frequent_attenders_adult_walk-in,"A&E Frequent Attenders (Adult, Walk-in)",AE-AA-006,Frequent Attenders,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,frequent_attenders_child_ambulance,"A&E Frequent Attenders (Children, Ambulance Conveyed)",AE-AA-007,Frequent Attenders,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,frequent_attenders_child_walk-in,"A&E Frequent Attenders (Children, Walk-in)",AE-AA-008,Frequent Attenders,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,left_before_seen_adult_ambulance,"A&E Patients Left Before Being Treated (Adult, Ambulance Conveyed)",AE-AA-009,Left Before Seen,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,left_before_seen_adult_walk-in,"A&E Patients Left Before Being Treated (Adult, Walk-in)",AE-AA-010,Left Before Seen,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,left_before_seen_child_ambulance,"A&E Patients Left Before Being Treated (Children, Ambulance Conveyed)",AE-AA-011,Left Before Seen,Emergency department and acute medicine activity,v0.6.0,NA
aae,activity_avoidance,left_before_seen_child_walk-in,"A&E Patients Left Before Being Treated (Children, Walk-in)",AE-AA-012,Left Before Seen,Emergency department and acute medicine activity,v0.6.0,NA
